Area,Size_class,EstTotalAcres,Protected_Acres,HumanOrLightning,FO_LandOwnType,County,RegUseRestriction,Industrial_Restriction,DistrictCode,Month_ReportDate
EOA,B,0.75,0.75,Lightning,BLM,Grant,Reg Use Closure,Does Not Apply - Eastern OR,95,7
EOA,C,80,80,Lightning,Other Private,Union,Reg Use Closure,Does Not Apply - Eastern OR,97,8
SOA,A,0.1,0.1,Human,BLM,Jackson,Reg Use Closure,Lvl 3 Restricted Shutdown,71,8
NOA,A,0.01,0.01,Human,State,Benton,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,55,7
NOA,A,0.01,0.01,Lightning,Industrial,Polk,Reg Use Closure,Lvl 3 Restricted Shutdown,55,8
EOA,A,0.01,0.01,Lightning,Industrial,Wallowa,Reg Use Closure,Does Not Apply - Eastern OR,97,8
EOA,A,0,0,Human,Rural Residential,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,99,8
NOA,A,0.01,0.01,Human,Rural Residential,Clatsop,Reg Use Closure,Lvl 1 Fire Season Only,52,9
EOA,A,0.01,0.01,Human,Other Private,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,98,8
NOA,B,3,3,Human,Industrial,Clatsop,Reg Use Closure,Lvl 1 Fire Season Only,52,6
EOA,A,0.1,0.1,Lightning,Industrial,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,98,9
SOA,A,0.01,0.01,Human,BLM,Jackson,Outside Closed Fire Season,Outside Closed Fire Season,71,10
SOA,B,1.5,1.5,Lightning,Small Woodlands,Douglas,Reg Use Closure,Lvl 3 Restricted Shutdown,73,8
EOA,A,0.01,0.01,Human,Industrial,Wallowa,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,97,10
SOA,A,0.1,0.1,Human,State,Josephine,Reg Use Closure,Lvl 3 Restricted Shutdown,71,9
SOA,A,0.25,0.25,Lightning,BLM,Douglas,Reg Use Closure,Lvl 3 Restricted Shutdown,73,8
SOA,A,0.01,0.01,Lightning,Industrial,Douglas,Reg Use Closure,Lvl 1 Fire Season Only,73,9
SOA,A,0.1,0.1,Human,Industrial,Lane,Reg Use Closure,Lvl 2 Limited Shutdown,77,8
SOA,A,0.01,0.01,Lightning,Industrial,Linn,Reg Use Closure,Lvl 1 Fire Season Only,77,7
NOA,A,0.01,0.01,Human,County,Columbia,Reg Use Closure,Lvl 1 Fire Season Only,53,8
NOA,A,0.14,0.14,Human,Industrial,Benton,Outside Closed Fire Season,Outside Closed Fire Season,55,7
SOA,A,0.1,0.1,Lightning,BLM,Jackson,Reg Use Closure,Lvl 1 Fire Season Only,71,7
EOA,A,0.05,0.05,Lightning,Other Private,Deschutes,Reg Use Closure,Does Not Apply - Eastern OR,95,9
EOA,A,0.25,0.25,Lightning,State,Klamath,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,99,5
NOA,B,5,5,Human,Industrial,Linn,Outside Closed Fire Season,Outside Closed Fire Season,58,12
NOA,A,0.13,0.13,Human,Small Woodlands,Clatsop,Reg Use Closure,Lvl 1 Fire Season Only,52,8
EOA,B,,1.5,Human,ERROR: #N/A,Deschutes,,,95,10
NOA,A,0.1,0.1,Human,Rural Residential,Columbia,Closed Fire Season Lvl 1,Lvl 2 Limited Shutdown,53,9
NOA,G,5521,1676,Human,USFS,Clackamas,Reg Use Closure,Lvl 3 Restricted Shutdown,58,9
SOA,A,0.25,0,Lightning,USFS,Douglas,Reg Use Closure,Lvl 3 Restricted Shutdown,73,9
EOA,A,0.1,0.1,Lightning,Industrial,Lake,Reg Use Closure,Does Not Apply - Eastern OR,98,8
NOA,C,27,27,Human,Other Public,Clatsop,Reg Use Closure,Lvl 2 Limited Shutdown,52,8
NOA,A,0.1,0.1,Human,Other Private,Polk,Reg Use Closure,Lvl 2 Limited Shutdown,55,7
SOA,B,0.5,0.5,Lightning,Industrial,Jackson,Reg Use Closure,Lvl 3 Restricted Shutdown,71,8
SOA,A,0.01,0.01,Human,Other Private,Coos,Reg Use Closure,Lvl 1 Fire Season Only,72,10
SOA,A,0.1,0.1,Human,County,Lane,Reg Use Closure,Lvl 3 Restricted Shutdown,78,8
SOA,A,0.01,0.01,Human,BLM,Jackson,Reg Use Closure,Lvl 2 Limited Shutdown,71,9
SOA,A,0.1,0.1,Human,BLM,Josephine,Reg Use Closure,Lvl 2 Limited Shutdown,71,10
SOA,A,0.01,0.01,Human,State,Josephine,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,6
SOA,B,0.35,0.35,Human,Industrial,Coos,Reg Use Closure,Lvl 1 Fire Season Only,72,9
NOA,C,19.25,19.25,Human,State,Washington,Reg Use Closure,Lvl 2 Limited Shutdown,53,8
SOA,B,0.5,0.5,Lightning,BLM,Jackson,Reg Use Closure,Lvl 4 Complete Shutdown,71,9
SOA,A,0.01,0.01,Human,Rural Residential,Josephine,Outside Closed Fire Season,Outside Closed Fire Season,71,5
SOA,A,0.01,0.01,Human,State,Lane,Reg Use Closure,Lvl 2 Limited Shutdown,78,9
EOA,C,79.6,30,Lightning,Small Woodlands,Wheeler,Reg Use Closure,Does Not Apply - Eastern OR,95,8
NOA,A,0.01,0.01,Human,Rural Residential,Clatsop,Outside Closed Fire Season,Outside Closed Fire Season,52,6
NOA,B,0.75,0.75,Human,Rural Residential,Marion,Reg Use Closure,Lvl 1 Fire Season Only,58,10
SOA,A,0.1,0.1,Lightning,BLM,Jackson,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,6
EOA,A,,0.1,Human,ERROR: #N/A,Deschutes,,,95,9
EOA,A,0.1,0.1,Lightning,State,Wallowa,Outside Closed Fire Season,Outside Closed Fire Season,97,6
SOA,A,0.13,0.13,Human,BLM,Josephine,Reg Use Closure,Lvl 2 Limited Shutdown,71,8
SOA,A,0.01,0.01,Human,State,Josephine,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,6
SOA,A,0.02,0.01,Human,County,Lane,Outside Closed Fire Season,Outside Closed Fire Season,77,5
SOA,A,0.01,0.01,Human,Rural Residential,Josephine,Outside Closed Fire Season,Outside Closed Fire Season,71,4
SOA,A,0.25,0.25,Human,BLM,Douglas,Reg Use Closure,Lvl 2 Limited Shutdown,73,7
